utc,dht_temp_C,dht_humidity_pct,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,mpu_temp_C,lsm_ax,lsm_ay,lsm_az,lsm_gx,lsm_gy,lsm_gz,lis_mx,lis_my,lis_mz,lps_pressure_hPa,lps_altitude_m,lps_temp_C
2025-06-01T12:00:22Z,23.52,46.87,0.113,-0.267,9.836,0.039,-0.013,0.034,28.21,0.012,-0.027,1.004,0.46,-0.93,0.41,0.2106,0.0292,-0.4208,1013.38,141.2,22.62
2025-06-01T12:00:23Z,23.28,47.70,-0.289,0.134,9.803,-0.025,0.041,-0.021,28.11,-0.029,0.014,0.996,-0.88,0.69,-0.61,0.2097,0.0307,-0.4193,1013.14,143.6,22.38
2025-06-01T12:00:24Z,23.53,46.84,0.201,-0.212,9.858,0.019,-0.031,0.027,28.24,0.020,-0.022,1.005,0.74,-0.47,0.83,0.2102,0.0299,-0.4200,1013.39,141.1,22.63
2025-06-01T12:00:25Z,23.27,47.73,-0.134,0.278,9.815,-0.034,0.015,-0.036,28.10,-0.014,0.028,0.997,-0.43,0.82,-0.97,0.2100,0.0303,-0.4198,1013.13,143.7,22.37
2025-06-01T12:00:26Z,23.54,46.81,0.256,-0.089,9.841,0.024,-0.026,0.019,28.27,0.026,-0.009,1.003,0.91,-0.38,0.65,0.2105,0.0295,-0.4205,1013.40,141.0,22.64
2025-06-01T12:00:27Z,23.26,47.76,-0.178,0.167,9.812,-0.021,0.035,-0.029,28.09,-0.018,0.017,0.999,-0.67,0.54,-0.77,0.2099,0.0302,-0.4199,1013.12,143.8,22.36
2025-06-01T12:00:28Z,23.55,46.78,0.094,-0.234,9.838,0.037,-0.018,0.032,28.22,0.010,-0.024,1.004,0.52,-0.89,0.48,0.2104,0.0296,-0.4203,1013.41,140.9,22.65
2025-06-01T12:00:29Z,23.25,47.79,-0.267,0.112,9.805,-0.026,0.043,-0.022,28.12,-0.027,0.011,0.996,-0.91,0.72,-0.63,0.2098,0.0306,-0.4194,1013.11,143.9,22.35
2025-06-01T12:00:30Z,23.56,46.75,0.189,-0.201,9.862,0.018,-0.032,0.026,28.25,0.019,-0.021,1.006,0.77,-0.44,0.86,0.2103,0.0298,-0.4202,1013.42,140.8,22.66
2025-06-01T12:00:31Z,23.24,47.82,-0.112,0.256,9.817,-0.033,0.013,-0.037,28.11,-0.011,0.026,0.998,-0.48,0.85,-0.94,0.2101,0.0304,-0.4197,1013.10,144.0,22.34
2025-06-01T12:00:32Z,23.57,46.72,0.278,-0.078,9.843,0.023,-0.025,0.017,28.28,0.028,-0.008,1.003,0.95,-0.33,0.68,0.2106,0.0293,-0.4207,1013.43,140.7,22.67
2025-06-01T12:00:33Z,23.23,47.85,-0.201,0.145,9.809,-0.019,0.034,-0.028,28.10,-0.020,0.015,0.999,-0.59,0.47,-0.79,0.2099,0.0301,-0.4200,1013.09,144.1,22.33
2025-06-01T12:00:34Z,23.58,46.69,0.113,-0.267,9.835,0.041,-0.014,0.035,28.23,0.012,-0.027,1.004,0.43,-0.96,0.39,0.2104,0.0295,-0.4204,1013.44,140.6,22.68
2025-06-01T12:00:35Z,23.22,47.88,-0.289,0.134,9.802,-0.027,0.044,-0.023,28.13,-0.029,0.014,0.996,-0.86,0.75,-0.66,0.2097,0.0308,-0.4192,1013.08,144.2,22.32
2025-06-01T12:00:36Z,23.59,46.66,0.201,-0.212,9.859,0.020,-0.033,0.028,28.26,0.020,-0.022,1.006,0.78,-0.49,0.81,0.2102,0.0300,-0.4199,1013.45,140.5,22.69
2025-06-01T12:00:37Z,23.21,47.91,-0.134,0.278,9.814,-0.036,0.016,-0.038,28.12,-0.014,0.028,0.997,-0.51,0.88,-0.92,0.2100,0.0305,-0.4196,1013.07,144.3,22.31
2025-06-01T12:00:38Z,23.60,46.63,0.256,-0.089,9.840,0.025,-0.027,0.020,28.29,0.026,-0.009,1.003,0.92,-0.36,0.71,0.2105,0.0294,-0.4206,1013.46,140.4,22.70
2025-06-01T12:00:39Z,23.20,47.94,-0.178,0.167,9.811,-0.022,0.036,-0.031,28.11,-0.018,0.017,0.999,-0.64,0.57,-0.82,0.2099,0.0303,-0.4198,1013.06,144.4,22.30
2025-06-01T12:00:40Z,23.61,46.60,0.094,-0.234,9.837,0.038,-0.019,0.033,28.24,0.010,-0.024,1.004,0.55,-0.91,0.46,0.2104,0.0297,-0.4202,1013.47,140.3,22.71
2025-06-01T12:00:41Z,23.19,47.97,-0.267,0.112,9.804,-0.028,0.045,-0.024,28.14,-0.027,0.011,0.996,-0.89,0.78,-0.69,0.2098,0.0307,-0.4193,1013.05,144.5,22.29
2025-06-01T12:00:42Z,23.62,46.57,0.189,-0.201,9.863,0.021,-0.034,0.029,28.27,0.019,-0.021,1.006,0.81,-0.52,0.84,0.2103,0.0299,-0.4201,1013.48,140.2,22.72
2025-06-01T12:00:43Z,23.18,48.00,-0.112,0.256,9.816,-0.035,0.014,-0.039,28.13,-0.011,0.026,0.998,-0.46,0.91,-0.95,0.2101,0.0304,-0.4197,1013.04,144.6,22.28
2025-06-01T12:00:44Z,23.63,46.54,0.278,-0.078,9.842,0.026,-0.028,0.021,28.30,0.028,-0.008,1.003,0.97,-0.34,0.74,0.2106,0.0292,-0.4208,1013.49,140.1,22.73
2025-06-01T12:00:45Z,23.17,48.03,-0.201,0.145,9.808,-0.020,0.037,-0.032,28.12,-0.020,0.015,0.999,-0.61,0.43,-0.84,0.2099,0.0302,-0.4199,1013.03,144.7,22.27
2025-06-01T12:00:46Z,23.64,46.51,0.113,-0.267,9.834,0.042,-0.015,0.036,28.25,0.012,-0.027,1.004,0.44,-0.98,0.37,0.2104,0.0296,-0.4203,1013.50,140.0,22.74
2025-06-01T12:00:47Z,23.16,48.06,-0.289,0.134,9.801,-0.029,0.046,-0.025,28.15,-0.029,0.014,0.996,-0.93,0.81,-0.72,0.2097,0.0309,-0.4191,1013.02,144.8,22.26
2025-06-01T12:00:48Z,23.65,46.48,0.201,-0.212,9.860,0.022,-0.035,0.030,28.28,0.020,-0.022,1.006,0.84,-0.55,0.79,0.2102,0.0301,-0.4198,1013.51,139.9,22.75
2025-06-01T12:00:49Z,23.15,48.09,-0.134,0.278,9.813,-0.037,0.017,-0.041,28.14,-0.014,0.028,0.997,-0.53,0.94,-0.91,0.2100,0.0306,-0.4195,1013.01,144.9,22.25
2025-06-01T12:00:50Z,23.66,46.45,0.121,-0.084,9.823,0.012,-0.023,0.008,28.12,0.012,-0.009,1.002,0.45,-0.32,0.78,0.2103,0.0298,-0.4201,1013.52,139.8,22.76
2025-06-01T12:00:51Z,23.14,48.12,-0.093,0.201,9.798,-0.018,0.031,-0.011,28.09,-0.010,0.021,0.998,-0.67,0.54,-0.23,0.2098,0.0301,-0.4198,1013.00,145.0,22.24
2025-06-01T12:00:52Z,23.67,46.42,0.214,-0.156,9.841,0.027,-0.009,0.019,28.15,0.022,-0.016,1.003,0.89,-0.71,0.34,0.2101,0.0296,-0.4203,1013.53,139.7,22.77
2025-06-01T12:00:53Z,23.13,48.15,-0.178,0.132,9.812,-0.014,0.022,-0.017,28.08,-0.018,0.014,0.999,-0.43,0.61,-0.55,0.2099,0.0303,-0.4197,1012.99,145.1,22.23
2025-06-01T12:00:54Z,23.68,46.39,0.089,-0.241,9.834,0.031,-0.028,0.024,28.21,0.009,-0.025,1.001,0.72,-0.48,0.91,0.2104,0.0295,-0.4205,1013.54,139.6,22.78
2025-06-01T12:00:55Z,23.12,48.18,-0.267,0.098,9.807,-0.022,0.017,-0.013,28.07,-0.027,0.010,0.997,-0.81,0.39,-0.67,0.2097,0.0304,-0.4196,1012.98,145.2,22.22
2025-06-01T12:00:56Z,23.69,46.36,0.143,-0.189,9.852,0.018,-0.034,0.021,28.18,0.015,-0.019,1.004,0.56,-0.83,0.42,0.2102,0.0297,-0.4202,1013.55,139.5,22.79
2025-06-01T12:00:57Z,23.11,48.21,-0.112,0.276,9.819,-0.029,0.011,-0.026,28.11,-0.011,0.028,0.998,-0.34,0.72,-0.89,0.2100,0.0302,-0.4199,1012.97,145.3,22.21
2025-06-01T12:00:58Z,23.70,46.33,0.231,-0.067,9.843,0.024,-0.019,0.016,28.24,0.024,-0.007,1.002,0.93,-0.27,0.63,0.2105,0.0294,-0.4206,1013.56,139.4,22.80
2025-06-01T12:00:59Z,23.10,48.24,-0.198,0.154,9.811,-0.016,0.028,-0.022,28.06,-0.020,0.016,0.999,-0.58,0.45,-0.74,0.2098,0.0305,-0.4195,1012.96,145.4,22.20
